id_hecho,fecha,rol,vehiculo_victima,sexo,edad,fecha_fallecimiento,cantidad_victimas,hora,lugar,tipo_de_calle,comuna,longitud,latitud,vehiculo_acusado
2021-0011,2021-01-27,PEATON,PEATON,MASCULINO,21.0,2021-01-27,1,1,SANTA FE AV. 1675,AVENIDA,2.0,-58.39144148,-34.59564871,AUTO
2021-0012,2021-01-29,PEATON,PEATON,MASCULINO,,2021-01-29,1,20,AU DELLEPIANE Y GUAMINI,AUTOPISTA,8.0,-58.48191128,-34.68385968,AUTO
2021-0013,2021-01-31,CONDUCTOR,MOTO,MASCULINO,41.0,2021-01-31,1,6,"FALCON, RAMON L., CNEL. Y OLIVERA AV.",AVENIDA,10.0,-58.48727942,-34.63652467,OBJETO FIJO
2021-0014,2021-02-02,PEATON,PEATON,MASCULINO,28.0,2021-02-18,1,0,SAN MARTIN AV. Y NOGOYA,AVENIDA,15.0,-58.48328708,-34.59779521,AUTO
2021-0015,2021-02-06,CONDUCTOR,MOTO,MASCULINO,26.0,2021-02-06,1,3,SAN MARTIN AV. Y TINOGASTA,AVENIDA,15.0,-58.49018543,-34.59724990,OBJETO FIJO
2021-0016,2021-02-14,CONDUCTOR,AUTO,MASCULINO,22.0,2021-02-14,1,5,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y DE LA TORRE, LISANDRO",AVENIDA,8.0,-58.47230127,-34.68482689,OBJETO FIJO
2021-0017,2021-02-17,CONDUCTOR,MOTO,MASCULINO,33.0,2021-02-17,1,4,SALTA Y CASEROS AV.,AVENIDA,1.0,-58.38262614,-34.63168269,PASAJEROS
2021-0018,2021-02-20,PEATON,PEATON,MASCULINO,36.0,2021-03-08,1,19,"JAURES, JEAN Y PERON, JUAN DOMINGO, TTE. GENERAL",CALLE,3.0,-58.41047268,-34.60793518,AUTO
2021-0019,2021-02-21,CONDUCTOR,MOTO,MASCULINO,30.0,2021-02-21,1,1,"TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.",AVENIDA,12.0,-58.49659234,-34.56353635,OBJETO FIJO
2021-0020,2021-02-21,PEATON,PEATON,FEMENINO,,2021-02-21,1,15,POTOSI Y GASCON,CALLE,5.0,-58.42462955,-34.60727189,CARGAS
